PLAYER,TEAM,Conf,AS Prob,Model Prediction
Giannis Antetokounmpo,MIL,East,0.9966474175453186,Yes
LeBron James,LAL,West,0.9962748289108276,Yes
Anthony Davis,LAL,West,0.9926257729530334,Yes
James Harden,HOU,West,0.9902002215385437,Yes
Kawhi Leonard,LAC,West,0.9871654510498047,Yes
Russell Westbrook,HOU,West,0.986435055732727,Yes
Luka Doncic,DAL,West,0.9857757687568665,Yes
Damian Lillard,POR,West,0.9781671762466431,Yes
Jimmy Butler,MIA,East,0.9766532778739929,Yes
Khris Middleton,MIL,East,0.9709484577178955,Yes
Rudy Gobert,UTA,West,0.9703583121299744,Yes
Donovan Mitchell,UTA,West,0.9686350226402283,Yes
Pascal Siakam,TOR,East,0.9650043249130249,Yes
Kemba Walker,BOS,East,0.9589765667915344,Yes
Bradley Beal,WAS,East,0.9538795948028564,Yes
Jayson Tatum,BOS,East,0.9498799443244934,Yes
Devin Booker,PHX,West,0.945273756980896,Yes
Bam Adebayo,MIA,East,0.9427313208580017,Yes
Joel Embiid,PHI,East,0.941250205039978,Yes
Nikola Jokic,DEN,West,0.917675256729126,Yes
Kyle Lowry,TOR,East,0.8938024640083313,Yes
Ben Simmons,PHI,East,0.8737912178039551,Yes
Domantas Sabonis,IND,East,0.8548105359077454,Yes
Brandon Ingram,NOP,West,0.8543151021003723,Yes
Zach LaVine,CHI,East,0.8482639789581299,No
Paul George,LAC,West,0.8209969997406006,No
DeMar DeRozan,SAS,West,0.8073140382766724,No
Lou Williams,LAC,West,0.7996335029602051,No
Jaylen Brown,BOS,East,0.7908327579498291,No
Trae Young,ATL,East,0.7873117923736572,No
Montrezl Harrell,LAC,West,0.7858670949935913,No
Fred VanVleet,TOR,East,0.7761836647987366,No
Spencer Dinwiddie,BKN,East,0.7544114589691162,No
Jamal Murray,DEN,West,0.7350448369979858,No
Eric Bledsoe,MIL,East,0.6967769861221313,No
Nikola Vucevic,ORL,East,0.6883403062820435,No
Karl-Anthony Towns,MIN,West,0.6834660768508911,No
Tobias Harris,PHI,East,0.6558030843734741,No
Kyrie Irving,BKN,East,0.6262927651405334,No
D'Angelo Russell,MIN,West,0.5775978565216064,No
Shai Gilgeous-Alexander,OKC,West,0.5219851136207581,No
Andre Drummond,CLE,East,0.4643649160861969,No
Hassan Whiteside,POR,West,0.456357479095459,No
LaMarcus Aldridge,SAS,West,0.4339141845703125,No
Dennis Schroder,OKC,West,0.3863033652305603,No
Chris Paul,OKC,West,0.37845274806022644,No
Ja Morant,MEM,West,0.3751963973045349,No
Derrick Rose,DET,East,0.3493795096874237,No
Malcolm Brogdon,IND,East,0.33516767621040344,No
Al Horford,PHI,East,0.33407801389694214,No
Jrue Holiday,NOP,West,0.3075859546661377,No
Will Barton,DEN,West,0.30162912607192993,No
Bojan Bogdanovic,UTA,West,0.23931163549423218,No
Serge Ibaka,TOR,East,0.2323417067527771,No
Marcus Morris Sr.,LAC,West,0.21737340092658997,No
Clint Capela,ATL,East,0.21714067459106445,No
Deandre Ayton,PHX,West,0.20304273068904877,No
Jonas Valanciunas,MEM,West,0.19098496437072754,No
Danilo Gallinari,OKC,West,0.18836863338947296,No
Julius Randle,NYK,East,0.17632906138896942,No
Norman Powell,TOR,East,0.14378641545772552,No
Kevin Love,CLE,East,0.14243580400943756,No
CJ McCollum,POR,West,0.13027207553386688,No
Gordon Hayward,BOS,East,0.12119882553815842,No
Andrew Wiggins,GSW,West,0.11206858605146408,No
Ricky Rubio,PHX,West,0.11026828736066818,No
Alec Burks,PHI,East,0.10982547700405121,No
Richaun Holmes,SAC,West,0.10875166207551956,No
Brook Lopez,MIL,East,0.10436069965362549,No
Goran Dragic,MIA,East,0.09572868049144745,No
Kristaps Porzingis,DAL,West,0.09302078932523727,No
Jarrett Allen,BKN,East,0.09083356708288193,No
Brandon Clarke,MEM,West,0.0731758326292038,No
De'Aaron Fox,SAC,West,0.06329762190580368,No
Devonte' Graham,CHA,East,0.060376718640327454,No
Dwight Howard,LAL,West,0.053854528814554214,No
Steven Adams,OKC,West,0.050321850925683975,No
Ersan Ilyasova,MIL,East,0.03814651444554329,No
John Collins,ATL,East,0.037540555000305176,No
Kyle Kuzma,LAL,West,0.03417030721902847,No
Enes Kanter,BOS,East,0.03356199339032173,No
JaVale McGee,LAL,West,0.03269417956471443,No
DeAndre Jordan,BKN,East,0.03236356005072594,No
Jordan Clarkson,UTA,West,0.03207745403051376,No
Kendrick Nunn,MIA,East,0.0312771312892437,No
Evan Fournier,ORL,East,0.030894124880433083,No
Nerlens Noel,OKC,West,0.030677977949380875,No
Wendell Carter Jr.,CHI,East,0.03062320128083229,No
Mason Plumlee,DEN,West,0.028052762150764465,No
Paul Millsap,DEN,West,0.025997726246714592,No
Tyler Herro,MIA,East,0.025754587724804878,No
George Hill,MIL,East,0.023440947756171227,No
Josh Richardson,PHI,East,0.022974468767642975,No
Delon Wright,DAL,West,0.02229701541364193,No
T.J. Warren,IND,East,0.02037247084081173,No
Marcus Smart,BOS,East,0.018132401630282402,No
Kelly Oubre Jr.,PHX,West,0.01677444390952587,No
Duncan Robinson,MIA,East,0.016646506264805794,No
Ivica Zubac,LAC,West,0.01576506905257702,No
Myles Turner,IND,East,0.015241619199514389,No
Terence Davis,TOR,East,0.015240403823554516,No
Jaren Jackson Jr.,MEM,West,0.015022478997707367,No
Gorgui Dieng,MEM,West,0.013572551310062408,No
Donte DiVincenzo,MIL,East,0.012150713242590427,No
Jonathan Isaac,ORL,East,0.011180208064615726,No
Willie Cauley-Stein,DAL,West,0.010736094787716866,No
Rondae Hollis-Jefferson,TOR,East,0.010644904337823391,No
Buddy Hield,SAC,West,0.010333393700420856,No
Chris Boucher,TOR,East,0.009333426132798195,No
Patrick Beverley,LAC,West,0.008900747634470463,No
Michael Porter Jr.,DEN,West,0.008762253448367119,No
Aaron Gordon,ORL,East,0.0086819464340806,No
Terry Rozier,CHA,East,0.00847327709197998,No
Tristan Thompson,CLE,East,0.007828504778444767,No
Markelle Fultz,ORL,East,0.007747827563434839,No
Robert Covington,HOU,West,0.007606319151818752,No
Danny Green,LAL,West,0.0067811328917741776,No
Joe Ingles,UTA,West,0.006440738216042519,No
OG Anunoby,TOR,East,0.00638588797301054,No
Glenn Robinson III,PHI,East,0.006284649483859539,No
Thomas Bryant,WAS,East,0.006231958512216806,No
Pat Connaughton,MIL,East,0.00618889182806015,No
Mo Bamba,ORL,East,0.005478076636791229,No
Daniel Theis,BOS,East,0.005278711672872305,No
T.J. McConnell,IND,East,0.005274869967252016,No
Jeremy Lamb,IND,East,0.0051889619790017605,No
Jeff Teague,ATL,East,0.005154612939804792,No
Tim Hardaway Jr.,DAL,West,0.00513792410492897,No
Rudy Gay,SAS,West,0.004833818878978491,No
Christian Wood,DET,East,0.004693171009421349,No
Alex Caruso,LAL,West,0.004550263285636902,No
Jae Crowder,MIA,East,0.00435720756649971,No
Meyers Leonard,MIA,East,0.004168136045336723,No
Lauri Markkanen,CHI,East,0.004107322543859482,No
Mitchell Robinson,NYK,East,0.004106248263269663,No
De'Anthony Melton,MEM,West,0.0041032638400793076,No
Royce O'Neale,UTA,West,0.0040610418654978275,No
Kyle Korver,MIL,East,0.0038037714548408985,No
Joe Harris,BKN,East,0.003786772256717086,No
Terrence Ross,ORL,East,0.0037829407956451178,No
Wesley Matthews,MIL,East,0.0037354181986302137,No
D.J. Augustin,ORL,East,0.0036627687513828278,No
Rajon Rondo,LAL,West,0.003658308181911707,No
Cody Zeller,CHA,East,0.00330443331040442,No
P.J. Washington,CHA,East,0.003300699405372143,No
Kelly Olynyk,MIA,East,0.0032528205774724483,No
Markieff Morris,LAL,West,0.003203978296369314,No
Alex Len,SAC,West,0.0029567077290266752,No
Dejounte Murray,SAS,West,0.0029330060351639986,No
Jakob Poeltl,SAS,West,0.002878193510696292,No
Mike Conley,UTA,West,0.00286625768058002,No
Moritz Wagner,WAS,East,0.00282130460254848,No
Tony Bradley,UTA,West,0.002705741673707962,No
John Henson,DET,East,0.0026758192107081413,No
Taurean Prince,BKN,East,0.002662769751623273,No
Collin Sexton,CLE,East,0.002619140548631549,No
Blake Griffin,DET,East,0.002617178251966834,No
Isaiah Thomas,WAS,East,0.0025771104265004396,No
Maxi Kleber,DAL,West,0.002570557640865445,No
Dwight Powell,DAL,West,0.002570557640865445,No
Emmanuel Mudiay,UTA,West,0.0024625735823065042,No
Robin Lopez,MIL,East,0.002362048253417015,No
Dillon Brooks,MEM,West,0.0023513752967119217,No
Davis Bertans,WAS,East,0.0023358892649412155,No
Gary Harris,DEN,West,0.0022683762945234776,No
Caris LeVert,BKN,East,0.0022377539426088333,No
Marquese Chriss,GSW,West,0.002237179083749652,No
Jerami Grant,DEN,West,0.002158986870199442,No
Kentavious Caldwell-Pope,LAL,West,0.002079997444525361,No
Justise Winslow,MEM,West,0.002078625140711665,No
Miles Bridges,CHA,East,0.0020715452264994383,No
Marc Gasol,TOR,East,0.002039083046838641,No
Solomon Hill,MIA,East,0.001995149301365018,No
Monte Morris,DEN,West,0.0019350714283064008,No
Lonzo Ball,NOP,West,0.0018873349763453007,No
Dorian Finney-Smith,DAL,West,0.0018064504256471992,No
Robert Williams III,BOS,East,0.0017536834347993135,No
JaMychal Green,LAC,West,0.001751552801579237,No
Derrick Favors,NOP,West,0.0016654481878504157,No
Aron Baynes,PHX,West,0.001599721028469503,No
Carmelo Anthony,POR,West,0.0015910955844447017,No
Garrett Temple,BKN,East,0.001574246445670724,No
Danuel House Jr.,HOU,West,0.0015721020754426718,No
Jordan McRae,DET,East,0.0015540577005594969,No
Jabari Parker,SAC,West,0.0014933476923033595,No
Justin Holiday,IND,East,0.001425774535164237,No
Bruce Brown,DET,East,0.001355424290522933,No
P.J. Tucker,HOU,West,0.0013378672301769257,No
Jaxson Hayes,NOP,West,0.0013369960943236947,No
Noah Vonleh,DEN,West,0.0013222175184637308,No
Eric Gordon,HOU,West,0.0013051180867478251,No
Grant Williams,BOS,East,0.0012964587658643723,No
Sterling Brown,MIL,East,0.0012441594153642654,No
Nemanja Bjelica,SAC,West,0.001221426180563867,No
Jalen Brunson,DAL,West,0.0012138404417783022,No
Larry Nance Jr.,CLE,East,0.0012112949043512344,No
Brad Wanamaker,BOS,East,0.0011715155560523272,No
Luke Kennard,DET,East,0.0011698311427608132,No
Matisse Thybulle,PHI,East,0.0011406118283048272,No
Eric Paschall,GSW,West,0.0010911261197179556,No
Marvin Williams,MIL,East,0.0010759870056062937,No
RJ Barrett,NYK,East,0.0010700515704229474,No
Thaddeus Young,CHI,East,0.0010201799450442195,No
Patty Mills,SAS,West,0.0010141887469217181,No
J.J. Barea,DAL,West,0.0009908821666613221,No
Tomas Satoransky,CHI,East,0.000985105405561626,No
Aaron Holiday,IND,East,0.0009685991681180894,No
Rui Hachimura,WAS,East,0.0009386931778863072,No
Mfiondu Kabengele,LAC,West,0.0008853449835442007,No
Kris Dunn,CHI,East,0.0008527392637915909,No
Mikal Bridges,PHX,West,0.0008452003239654005,No
Kyle O'Quinn,PHI,East,0.0008421297534368932,No
Harrison Barnes,SAC,West,0.0008396594785153866,No
Ian Mahinmi,WAS,East,0.0008386288536712527,No
Patrick Patterson,LAC,West,0.0008343465742655098,No
Seth Curry,DAL,West,0.0008285578223876655,No
Landry Shamet,LAC,West,0.0007789796218276024,No
Furkan Korkmaz,PHI,East,0.0007639548857696354,No
Troy Brown Jr.,WAS,East,0.0007603107951581478,No
Boban Marjanovic,DAL,West,0.0007439297041855752,No
Tyler Cook,DEN,West,0.000742235453799367,No
Semi Ojeleye,BOS,East,0.0007230420596897602,No
Derrick White,SAS,West,0.0007218093378469348,No
Kyle Anderson,MEM,West,0.0007087502162903547,No
Bogdan Bogdanovic,SAC,West,0.0006942598265595734,No
Al-Farouq Aminu,ORL,East,0.0006674416363239288,No
De'Andre Hunter,ATL,East,0.000659164332319051,No
Mike Scott,PHI,East,0.000647445791400969,No
Trey Lyles,SAS,West,0.0006427295738831162,No
Georges Niang,UTA,West,0.0006305095739662647,No
Avery Bradley,LAL,West,0.0006294285412877798,No
Coby White,CHI,East,0.0006265228148549795,No
Derrick Jones Jr.,MIA,East,0.0006243110983632505,No
Bobby Portis,NYK,East,0.0006076723802834749,No
Isaac Bonga,WAS,East,0.0005955563392490149,No
Trey Burke,DAL,West,0.000588423979934305,No
Raul Neto,PHI,East,0.0005610764492303133,No
Norvel Pelle,PHI,East,0.000554230238776654,No
Johnathan Motley,LAC,West,0.0005488240858539939,No
Johnathan Williams,WAS,East,0.0005442737019620836,No
Isaiah Hartenstein,HOU,West,0.000544152338989079,No
Dario Saric,PHX,West,0.0005400741356424987,No
Kevin Huerter,ATL,East,0.0005397774511948228,No
Doug McDermott,IND,East,0.0005327185499481857,No
Frank Kaminsky,PHX,West,0.0005292078130878508,No
Ish Smith,WAS,East,0.000524260918609798,No
Omari Spellman,MIN,West,0.0005220874445512891,No
Austin Rivers,HOU,West,0.000506386102642864,No
Bismack Biyombo,CHA,East,0.0005020023672841489,No
JJ Redick,NOP,West,0.0004948062123730779,No
Darius Bazley,OKC,West,0.0004867820243816823,No
Patrick McCaw,TOR,East,0.00048297125613316894,No
Troy Daniels,DEN,West,0.0004820008762180805,No
Jerome Robinson,WAS,East,0.0004697559052146971,No
Maurice Harkless,NYK,East,0.00046630969154648483,No
Jarrett Culver,MIN,West,0.00046630969154648483,No
Terance Mann,LAC,West,0.0004518991045188159,No
Anzejs Pasecniks,WAS,East,0.0004462651559151709,No
Quinn Cook,LAL,West,0.00044509468716569245,No
Josh Okogie,MIN,West,0.0004375334829092026,No
Chimezie Metu,SAS,West,0.00043403555173426867,No
Ryan Arcidiacono,CHI,East,0.0004258482367731631,No
Wilson Chandler,BKN,East,0.0004236027889419347,No
Ben McLemore,HOU,West,0.0004233904182910919,No
Damion Lee,GSW,West,0.0004224045551382005,No
Javonte Green,BOS,East,0.0004220421542413533,No
Justin Jackson,DAL,West,0.0004220421542413533,No
Tyus Jones,MEM,West,0.0004178597591817379,No
Malik Monk,CHA,East,0.0004024313238915056,No
Willy Hernangomez,CHA,East,0.00039625453064218163,No
James Ennis III,ORL,East,0.0003898700815625489,No
Goga Bitadze,IND,East,0.00038941801176406443,No
Gary Payton II,WAS,East,0.0003804860170930624,No
Draymond Green,GSW,West,0.0003777947567868978,No
Josh Hart,NOP,West,0.0003768722526729107,No
Thon Maker,DET,East,0.0003764926514122635,No
Taj Gibson,NYK,East,0.0003730409371200949,No
Drew Eubanks,SAS,West,0.000371418718714267,No
Tony Snell,DET,East,0.0003571920678950846,No
Trevor Ariza,POR,West,0.0003559333272278309,No
Otto Porter Jr.,CHI,East,0.0003559333272278309,No
Kent Bazemore,SAC,West,0.0003490338858682662,No
Chris Chiozza,BKN,East,0.0003354551736265421,No
Thanasis Antetokounmpo,MIL,East,0.0003311892505735159,No
Chris Silva,MIA,East,0.00032611197093501687,No
Cheick Diallo,PHX,West,0.0003245165862608701,No
Langston Galloway,DET,East,0.00032390892738476396,No
Marvin Bagley III,SAC,West,0.00032340502366423607,No
Khem Birch,ORL,East,0.0003200992359779775,No
Nicolas Batum,CHA,East,0.0003155554295517504,No
Kenrich Williams,NOP,West,0.0003143318463116884,No
Darius Garland,CLE,East,0.00031359613058157265,No
Ed Davis,UTA,West,0.00031299932743422687,No
Kevin Knox II,NYK,East,0.00030938046984374523,No
Shabazz Napier,WAS,East,0.00030273981974460185,No
Anfernee Simons,POR,West,0.0003012159722857177,No
Rodney McGruder,LAC,West,0.0002946560853160918,No
Denzel Valentine,CHI,East,0.00029329146491363645,No
Marco Belinelli,SAS,West,0.0002930063637904823,No
Svi Mykhailiuk,DET,East,0.0002930063637904823,No
D.J. Wilson,MIL,East,0.00029021865339018404,No
Anthony Tolliver,MEM,West,0.0002836636849679053,No
Jared Dudley,LAL,West,0.00027466932078823447,No
Dwayne Bacon,CHA,East,0.00027247812249697745,No
Elie Okobo,PHX,West,0.00027247812249697745,No
DeAndre' Bembry,ATL,East,0.0002702420169953257,No
Daniel Gafford,CHI,East,0.00026920437812805176,No
Terrance Ferguson,OKC,West,0.00026899451040662825,No
Bryn Forbes,SAS,West,0.00026570234331302345,No
Torrey Craig,DEN,West,0.00026261937455274165,No
Cam Reddish,ATL,East,0.0002576202678028494,No
Rayjon Tucker,UTA,West,0.0002540732966735959,No
Vlatko Cancar,DEN,West,0.0002540732966735959,No
Rodney Hood,POR,West,0.0002516751119401306,No
Keita Bates-Diop,DEN,West,0.0002464099379722029,No
Jahlil Okafor,NOP,West,0.00023884027905296534,No
Kevin Porter Jr.,CLE,East,0.0002337338955840096,No
Michael Carter-Williams,ORL,East,0.0002280743938172236,No
Romeo Langford,BOS,East,0.000222719187149778,No
Michael Kidd-Gilchrist,DAL,West,0.000222719187149778,No
Lonnie Walker IV,SAS,West,0.0002203851763624698,No
Cameron Johnson,PHX,West,0.0002165467303711921,No
David Nwaba,HOU,West,0.0002136722905561328,No
Ante Zizic,CLE,East,0.00021305790869519114,No
Juwan Morgan,UTA,West,0.00021071101946290582,No
Matt Thomas,TOR,East,0.00021071101946290582,No
Nigel Williams-Goss,UTA,West,0.00021071101946290582,No
Stanley Johnson,TOR,East,0.00021071101946290582,No
Malcolm Miller,TOR,East,0.00021071101946290582,No
Oshae Brissett,TOR,East,0.00021071101946290582,No
Cedi Osman,CLE,East,0.0002092251379508525,No
Shake Milton,PHI,East,0.00020911982574034482,No
Vince Carter,ATL,East,0.00020807584223803133,No
Wes Iwundu,ORL,East,0.0002060730184894055,No
Luguentz Dort,OKC,West,0.00019981390505563468,No
Skal Labissiere,ATL,East,0.00019830651581287384,No
Edmond Sumner,IND,East,0.00019792474631685764,No
Courtney Lee,DAL,West,0.00018988446390721947,No
Vincent Poirier,BOS,East,0.00018988446390721947,No
Cory Joseph,SAC,West,0.00018426586757414043,No
Nickeil Alexander-Walker,NOP,West,0.00017919225501827896,No
Nicolas Claxton,BKN,East,0.00017802839283831418,No
CJ Miles,WAS,East,0.0001759779843268916,No
Elfrid Payton,NYK,East,0.00017299596220254898,No
Tim Frazier,DET,East,0.00016853009583428502,No
Naz Reid,MIN,West,0.00016504419909324497,No
Frank Ntilikina,NYK,East,0.00016447454981971532,No
Ryan Broekhoff,PHI,East,0.00016373832477256656,No
Jevon Carter,PHX,West,0.0001590013416716829,No
Cody Martin,CHA,East,0.0001590013416716829,No
Ty Jerome,PHX,West,0.00015726806304883212,No
Marko Guduric,MEM,West,0.00015092475223354995,No
Tyler Johnson,BKN,East,0.00015092475223354995,No
Ky Bowman,GSW,West,0.0001505928230471909,No
Brandon Knight,DET,East,0.0001492793671786785,No
Carsen Edwards,BOS,East,0.00014903688861522824,No
Tyson Chandler,HOU,West,0.00014534442743752152,No
Sekou Doumbouya,DET,East,0.00013914973533246666,No
Damian Jones,ATL,East,0.0001386307121720165,No
Abdel Nader,OKC,West,0.00013433684944175184,No
Hamidou Diallo,OKC,West,0.00013433684944175184,No
Mike Muscala,OKC,West,0.00013433684944175184,No
Nassir Little,POR,West,0.00013346047489903867,No
Alize Johnson,IND,East,0.00013303800369612873,No
Timothe Luwawu-Cabarrot,BKN,East,0.0001316932903137058,No
Rodions Kurucs,BKN,East,0.0001316932903137058,No
Jordan Poole,GSW,West,0.00012980536848772317,No
Chandler Hutchison,CHI,East,0.00012939938460476696,No
JaKarr Sampson,IND,East,0.0001290247164433822,No
Bruno Caboclo,HOU,West,0.0001290247164433822,No
Matthew Dellavedova,CLE,East,0.00012787216110154986,No
Dzanan Musa,BKN,East,0.0001237996475538239,No
Derrick Walton Jr.,DET,East,0.0001237996475538239,No
Grayson Allen,MEM,West,0.0001237996475538239,No
Damyean Dotson,NYK,East,0.00012189902918180451,No
Jake Layman,MIN,West,0.00012157887249486521,No
TJ Leaf,IND,East,0.00012121388863306493,No
Chris Clemons,HOU,West,0.00011657713184831664,No
Thabo Sefolosha,HOU,West,0.00011657713184831664,No
Jeff Green,HOU,West,0.00011657713184831664,No
Frank Jackson,NOP,West,0.0001105528644984588,No
DeMarre Carroll,HOU,West,0.00011033011833205819,No
Wenyen Gabriel,POR,West,0.00011032086331397295,No
Caleb Swanigan,POR,West,0.00011032086331397295,No
Mario Hezonja,POR,West,0.00011011896276613697,No
Yogi Ferrell,SAC,West,0.00010831302643055096,No
Luke Kornet,CHI,East,0.00010792157263495028,No
Gary Clark,ORL,East,0.00010512328299228102,No
Moses Brown,POR,West,0.00010440908226883039,No
Shaquille Harrison,CHI,East,0.00010051568096969277,No
Iman Shumpert,BKN,East,9.838438563747332e-05,No
Justin Robinson,WAS,East,9.809537732508034e-05,No
Garrison Mathews,WAS,East,9.809537732508034e-05,No
Admiral Schofield,WAS,East,9.809537732508034e-05,No
Amile Jefferson,ORL,East,9.49813547777012e-05,No
Deonte Burton,OKC,West,9.49813547777012e-05,No
Melvin Frazier Jr.,ORL,East,9.49813547777012e-05,No
Nicolo Melli,NOP,West,9.374821820529178e-05,No
Gary Trent Jr.,POR,West,9.149024845100939e-05,No
Josh Magette,ORL,East,8.989150228444487e-05,No
Jaylen Hoard,POR,West,8.65874535520561e-05,No
Kadeem Allen,NYK,East,8.576822438044474e-05,No
Malik Beasley,MIN,West,8.496711234329268e-05,No
Bruno Fernando,ATL,East,8.461643301416188e-05,No
Theo Pinson,NYK,East,8.251974213635549e-05,No
Treveon Graham,ATL,East,8.041385444812477e-05,No
Evan Turner,MIN,West,7.87233148002997e-05,No
Kelan Martin,MIN,West,7.553578325314447e-05,No
Jacob Evans,MIN,West,7.11281827534549e-05,No
E'Twaun Moore,NOP,West,7.11281827534549e-05,No
Harry Giles III,SAC,West,7.11281827534549e-05,No
Dante Exum,CLE,East,7.11281827534549e-05,No
Brandon Goodwin,ATL,East,7.11281827534549e-05,No
Allonzo Trier,NYK,East,7.11281827534549e-05,No
Dennis Smith Jr.,NYK,East,7.11281827534549e-05,No
Jordan Bell,CLE,East,6.798359390813857e-05,No
Dean Wade,CLE,East,6.798359390813857e-05,No
Alen Smailagic,GSW,West,6.104045314714313e-05,No
Dewayne Dedmon,ATL,East,5.910858089919202e-05,No
Reggie Bullock,NYK,East,5.8343761338619515e-05,No
Wayne Ellington,NYK,East,5.8343761338619515e-05,No
Jordan McLaughlin,MIN,West,5.8343761338619515e-05,No
Allen Crabbe,MIN,West,5.8343761338619515e-05,No
Alfonzo McKinnie,CLE,East,5.590896762441844e-05,No
Kevon Looney,GSW,West,5.590896762441844e-05,No
James Johnson,MIN,West,5.4693020501872525e-05,No
Ignas Brazdeikis,NYK,East,5.291280831443146e-05,No
Justin James,SAC,West,5.1316539611434564e-05,No
Juancho Hernangomez,MIN,West,4.388071101857349e-05,No
Tyrone Wallace,ATL,East,4.388071101857349e-05,No
Jaylen Nowell,MIN,West,4.388071101857349e-05,No
